Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
acct1610,Laws in Society and Business,3 Credit(s),,ACCT 3610,,,,,,This course provides an introduction to law and business society. Topics include general introduction to the concepts in law; an introduction to the Hong Kong legal system under the principle of $one country@ two systems$; copyright law; trademark law; agency law; insolvency law; employment law and business ethics. As Hong Kong is a well-developed business society@ this course is intended to build students# understanding of the relationship between the law and the society and discuss laws in society and business.
acct2010,Principles of Accounting I,3 Credit(s),,,,,[BLD] Blended learning,,,For SB&M students@ and programs that designate the course as a required/specified elective course. This is the first course of the principles of accounting sequence. Introduction to the concepts and principles of financial accounting@ including the analysis@ recording@ and reporting of business transactions and preparation of financial statements.
acct2200,Principles of Accounting II,3 Credit(s),(for non-BIBU students) ACCT 2010,,,,,,,For SB&M students@ and programs that designate the course as a required/specified elective course. This is the second course of the principles of accounting sequence. It introduces concepts@ accounting methods@ and analytical tools related to managerial and cost accounting. Topics include fundamental cost concepts@ job-order and process costing systems@ CVP analysis@ budgets and standards@ segment reporting@ and decision-making using cost information.
acct3010,Financial Accounting I,3 Credit(s),ACCT 2010,ACCT 3030,,,[BLD] Blended learning,,,Study of the application of generally accepted accounting principles to accounting for business organizations; evaluation of balance sheet accounts and the related effects on income determination.
acct3020,Financial Accounting II,3 Credit(s),ACCT 3010,ACCT 3030,,,,,,Continuation of ACCT 3010. Special problems in accounting for owner#s equity and long-term liabilities including corporate bonds@ leases@ deferred taxation and pensions.
acct3030,Intermediate Financial Accounting for Non-Accounting Majors,3 Credit(s),ACCT 2010,ACCT 3010@ ACCT 3020,,,,,,Financial accounting concepts and practices with particular emphasis on the analysis and interpretation of financial reports and data.
acct3210,Advanced Management Accounting,3 Credit(s),ACCT 2200,,,,,,,This course covers advanced quantitative methods for management decision-making (decision trees@ linear regression@ learning curves@ and linear programming)@ pricing and transfer pricing decisions@ allocation of common and joint costs@ variance analysis@ performance measurement and incentive compensation.
acct3610,Business Law,3 Credit(s),,,,,,,,This course is to provide students with an awareness of the overall legal framework in which businesses in Hong Kong operate so as to enable them to apply the relevant laws and practices to business problems and practical solutions. The main objective is to give students an understanding of how the society and business function in different socio-legal contexts like the legal system and process and its influence on citizens# social rights and duties; the enforcement and honoring of agreement between private citizens@ the use of business organizations in commercial society@ the relationship between employee and employer from social and legal perspectives@ the growing importance of business ethics and corporate social responsibilities etc.
acct3880,Professional Excellence Program,1 Credit(s),,,,,,,,Introductory-level seminars and workshops on the accounting/auditing professions; development of life-skills including writing and other communication skills; and individual thinking skills; ethics for accountants. For SB&M students only. Graded P or F.
acct4010,Advanced Financial Accounting,3 Credit(s),ACCT 3020,,,,,,,Addresses accounting issues associated with (1) intercorporate investment activity that conveys significant influence or control and (2) cross-border activities.  The core topics addressed are business combinations@ consolidated financial statements@ associated companies@ and foreign currency issues.
